ticker,logo_url
MSFT,https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg
GOOG,https://commons.wikimedia.org/wiki/File:Alphabet_Inc_Logo_2015.svg 
AMZN,https://logo.clearbit.com/amazon.com
JPM,https://logo.clearbit.com/jpmorganchase.com
PG,https://logo.clearbit.com/pg.com
CRM,https://logo.clearbit.com/salesforce.com
COST,https://logo.clearbit.com/costco.com
JNJ,https://logo.clearbit.com/jnj.com
MS,https://logo.clearbit.com/morganstanley.com
BRKB,https://logo.clearbit.com/berkshirehathaway.com
BRK.B,https://logo.clearbit.com/berkshirehathaway.com
AAPL,https://logo.clearbit.com/apple.com
TSLA,https://logo.clearbit.com/tesla.com
AVGO,https://logo.clearbit.com/broadcom.com
2330,https://logo.clearbit.com/tsmc.com
AMD,https://logo.clearbit.com/amd.com
ABBV,https://logo.clearbit.com/abbvie.com
CSCO,https://logo.clearbit.com/cisco.com
IBE,https://logo.clearbit.com/iberdrola.com
FSLR,https://logo.clearbit.com/firstsolar.com
MRK,https://logo.clearbit.com/merck.com
META,https://logo.clearbit.com/meta.com
NVDA,https://logo.clearbit.com/nvidia.com
V,https://logo.clearbit.com/visa.com
MA,https://logo.clearbit.com/mastercard.com
HD,https://logo.clearbit.com/homedepot.com
WMT,https://logo.clearbit.com/walmart.com
KO,https://logo.clearbit.com/coca-colacompany.com
PEP,https://logo.clearbit.com/pepsico.com
UNH,https://logo.clearbit.com/unitedhealthgroup.com
XOM,https://logo.clearbit.com/exxonmobil.com
CVX,https://logo.clearbit.com/chevron.com
SHEL,https://logo.clearbit.com/shell.com
BP,https://logo.clearbit.com/bp.com
